Category,SubCategory,Title,OriginalPrice,DiscountedPrice,Discount,SellerName,NumberofRatings,PositiveSellerRatings,ShipOnTime,ChatResponseRate,DeliveryType,ProductToBeSold,SellPercentageToIncrease,Product_ID
"Watches, Bags, Jewellery",Kids Bags,Animal Prints Cotton Canvas Children Bags Backpack Lash Messenger Bags Backpack Cartoon School,550,255,54,Twenty Twenty,342,85,0,98,Standard Delivery,107.84,116,7eba5a29-2cfb-46a8-a324-d1d89342b7be
"Watches, Bags, Jewellery",Kids Bags,School Bags For Girls Big Capacity Backpack Shouler Bags Anti Theft Waterproof Daily Travel Back Pack Ladies Bagpack School Bag,1650,725,56,AYSHA TRADERS,31,86,0,93,Free Delivery,113.79,128,7e7bea92-3537-40c4-af7f-39d60b3591f2
"Watches, Bags, Jewellery",Kids Bags,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,350,195,44,Shah Wholesale Fashion,13,77,0,57,Free Delivery,89.74,80,71a25ac6-c830-4418-9035-ec7fc6da4e83
"Watches, Bags, Jewellery",Kids Bags,Backpacks for kids in kindergarten Cute baby bags for boys and girls Cute animal school bags for kids in kindergarten,1200,749,38,Ghoredokanbd,23,93,0,100,Standard Delivery,80.11,61,8a0794e8-ac2f-44d7-84c0-c8816abe28ad
"Watches, Bags, Jewellery",Kids Bags,kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,350,286,18,Darun Online Shop,3,90,0,100,Free Delivery,61.19,23,5c219cda-58aa-4a1a-8029-2ce870cf31e0
"Watches, Bags, Jewellery",Kids Bags,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,400,196,51,AK Mart,4,85,0,87,Standard Delivery,102.04,105,1e3da2a1-aece-4a4a-8c2e-dccce11c4a0c
"Watches, Bags, Jewellery",Kids Bags,"8x9 Inches Mini Girls Cartoon Mini Backpack, Preschool Baby Bag, Travel Bag, Birth day gift bag",350,350,0,FlickMart BD,1,93,0,96,Standard Delivery,50,0,ce42367a-be11-4e51-973f-e6f40e9164ba
"Watches, Bags, Jewellery",Kids Bags,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,350,209,40,Gadget Collection,24,82,0,83,Free Delivery,83.73,68,af431b02-9007-4a3b-ae4d-b8eac4e93809
"Watches, Bags, Jewellery",Kids Bags,kids backpack children's kindergarten cute backpack cartoon frog anti lost backpack,500,227,55,Taqwa Fashion Bd,12,85,0,100,Free Delivery,110.13,121,c60da7a5-d6e0-495e-a90d-b4cb60fcdf2c
"Watches, Bags, Jewellery",Kids Bags,"8x9 Inches Red Mini Girls Cartoon Mini Backpack, Preschool Baby Bag, Travel Bag, Birth day gift bag",350,350,0,FlickMart BD,3,93,0,96,Standard Delivery,50,0,57e2dd8e-24c1-4430-9641-e2b57b6b28d3
"Watches, Bags, Jewellery",Kids Bags,Girls School Bags Big Capacity Backpack Shouler Bags Anti Theft Waterproof Daily Travel Back Pack Ladies Bagpack School Bag,1500,760,49,Matching Point,2,92,0,80,Free Delivery,98.68,98,9f186353-baec-466d-8329-b81ddf349277
"Watches, Bags, Jewellery",Kids Bags,"Kid Cartoon Backpack, Unicorn / Fox 3D Doll Student Rucksack Work Travel School Bag for Boys Girls",807,588,27,Jumperjuser,26,89,100,86,Free Delivery,68.62,38,4b2e6ad8-e259-44af-92af-636a3909c5e3
"Watches, Bags, Jewellery",Kids Bags,Zip It Good 2023 Fashion Girls Waterproof School Bags For Light Weight Children Backpack school bag Printing Kids School Backpacks mochila-size 14 inch - school bag,1450,950,34,Zip It Good,28,84,0,66,Free Delivery,76.32,53,854ba27a-19d9-41a5-9c02-10540702885a
"Watches, Bags, Jewellery",Kids Bags,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,350,196,44,AK Enterprise BD,2,80,0,87,Standard Delivery,89.29,79,c9e72f04-5e4e-4069-9923-bbaabd5aadc0
"Watches, Bags, Jewellery",Kids Bags,Penny Purse for girls Poisha purse for Kids Penny Purse Wallet Rubber Cute Cartoon Silicone Kids Fashion Pantone Bag Quantity Custom -1 pcs,200,122,39,Closet number 11,76,90,0,98,Free Delivery,81.97,64,22896cee-8b9a-437c-8ae3-7d92d95ec555
"Watches, Bags, Jewellery",Kids Bags,Baby Suitcase Toy Mini Luggage Box Plastic Small Trolley Case Cute Hand Money Decoration for Kids Girls,2278,889,61,LAIKOU,0,79,100,100,Free Delivery,128.12,157,e486763b-8ab1-4a52-90ea-5bc38bbcb08c
"Watches, Bags, Jewellery",Kids Bags,Primary School Bag New Lightweight Children's Backpack Waterproof Large Capacity Boys And Girls Schoolbag,1089,1072,2,LEBAIQI STORE,1,82,100,100,Free Delivery,50.79,2,69f75b10-7a9c-4a77-a565-0cfacad42e86
"Watches, Bags, Jewellery",Kids Bags,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,400,190,52,Antu Mart,1,81,0,68,Standard Delivery,105.26,111,100b5190-37ff-475f-857b-ba1b0549b426
"Watches, Bags, Jewellery",Kids Bags,"8x9 Inches Super Mario Boys Girls Cartoon Mini Backpack, Preschool Baby Bag, Travel Bag, Birth day gift bag",350,350,0,FlickMart BD,1,93,0,96,Standard Delivery,50,0,527bd1f0-8857-41e2-904b-d79cef606666
"Watches, Bags, Jewellery",Kids Bags,Cute Children Cartoon Print Dinosaur Horn Kids Girls Boys Mini Kawaii Kindergarten School Shoulder Bags,433,226,48,Trendycollection Store,2,74,100,100,Free Delivery,95.8,92,315746d5-aaca-4c39-b00e-bb4d53d5ad53
"Watches, Bags, Jewellery",Kids Bags,Sanrio Kuromi Travel Backpack my melody Girls Boys Nylon School Bag Fashion Cartoon Handbag Backpack,2737,1498,45,Lamgool Household,1,81,100,99,Free Delivery,91.36,83,d03226d7-7f9e-4c85-b15a-d8c8684f4a48
"Watches, Bags, Jewellery",Kids Bags,Baby School Backpack Bag/Kid School Bags/School Bag for Baby Boys & Girls,300,174,42,SYLHET ONLINE BAZAR 1648978285,1,85,0,0,Standard Delivery,86.21,73,aad1ea37-30b2-4019-932d-58c538e56225
"Watches, Bags, Jewellery",Kids Bags,Baby Fashion School Doll Bag Frog Backpacks,550,238,57,Taqwa Fashion Bd,1,85,0,100,Free Delivery,115.55,132,7fb5cb71-43f7-4f2b-b58f-48165f75f79d
"Watches, Bags, Jewellery",Kids Bags,"CAT Cute Kid's Toddler Backpack Dinosaur Schoolbag for Boys Girls,Kindergarten Children Bag",1000,550,45,All in one-Store,3,0,0,100,Standard Delivery,90.91,82,e96047ed-d1cf-4a99-ab19-a7f2b7c8ff1f
"Watches, Bags, Jewellery",Kids Bags,Trendsetter -Multipurpose Use Waterproof Bag. Waterproof Bag For Hand Tools. ( Only Bag) - School Bag For Girls By Safe Zone- Inventive Choice,220,147,33,Safe Zone (KHL),6,85,0,98,Free Delivery,74.83,50,0ebc98e0-10ae-4bfb-b213-62597f7f6e19
"Watches, Bags, Jewellery",Kids Bags,"backpack for men going backpack boys bag school bag ,for class three to six,good fabric bag",560,420,25,SP bag house,0,0,0,50,Free Delivery,66.67,34,dd712a9a-d421-4c39-ad32-25a38c8b1700
"Watches, Bags, Jewellery",Kids Bags,Mermaid Tail Shoulder Bag Sequins for Girls Messenger Bag Gift for Kids,350,252,28,I LOVE DADDY&MUMMY,3,91,100,99,Free Delivery,69.44,39,5b921e58-ccbe-4501-8602-1142c7595390
"Watches, Bags, Jewellery",Kids Bags,School bag Class One and Two students febric bag,550,329,40,M leather House,0,85,0,100,Free Delivery,83.59,68,01d9b5ba-ad93-4515-af9a-b344027c475b
"Watches, Bags, Jewellery",Kids Bags,DishyKooker Children Unicorn Plush Crossbody Bag Cute Round Cartoon Coin Purse Cosmetic Mobile Phone Storage Bag For Women,350,210,40,DishyKooker,1,0,100,88,Free Delivery,83.33,67,b86c0dd8-3325-4d87-841c-2432f6e77131
"Watches, Bags, Jewellery",Kids Bags,Zip It Good kids school bag boys and Girl size 16INCH,1350,950,30,Zip It Good,0,84,0,66,Free Delivery,71.05,43,b1f26ac9-1e48-48cb-b269-18869cf567e6
"Watches, Bags, Jewellery",Kids Bags,Disney Cute Cartoon Characters Mickey Mouse Minnie Plush backpack Kids Schoolbag Podazz,1082,695,36,aFnV7kFC,0,78,100,100,Free Delivery,77.84,56,95bb5312-ca58-4b46-9087-4b3bf87f936c
"Watches, Bags, Jewellery",Kids Bags,Cartoon Cat Printing Student School Bags Women Contrast Color Backpack Casual Large Capacity Female Travel Knapsack,1850,1020,45,VooVoo Store,2,0,100,0,Standard Delivery,90.69,82,7b272585-e49b-465e-a2a1-887850bbee3a
"Watches, Bags, Jewellery",Kids Bags,Cartoon Design Kids Small Backpack / Kids Cartoon School Bag,600,395,34,DREAM TRADING BD,2,72,0,100,Standard Delivery,75.95,52,74b4b71b-229a-4379-a4d2-b6bebf511cc3
"Watches, Bags, Jewellery",Kids Bags,Kids Bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,495,259,48,Mom & Kids Bazar,6,87,0,96,Standard Delivery,95.56,92,c563707f-8742-4951-81de-54118720c929
"Watches, Bags, Jewellery",Kids Bags,Children Backpacks Cute Student Schoolbags For Girls Primary School Bag Waterproof Children's Book Bags For Teenagers Girls Kids,1800,1350,25,ONE MORE.,0,72,0,74,Standard Delivery,66.67,34,784f5085-4341-4903-b902-580c3cae2c74
"Watches, Bags, Jewellery",Kids Bags,Kids School Bag School kids hi quality bag 12/17 inc,820,594,28,Samiha's Fashion,1,0,0,100,Free Delivery,69.02,39,a28332e5-2378-4840-b3da-efdde1469dfc
"Watches, Bags, Jewellery",Kids Bags,8x9 Inches Mickey Mouse Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag,350,340,3,FlickMart BD,0,93,0,96,Standard Delivery,51.47,3,3f2c5a3e-a96c-4e38-9d77-72add977ea6c
"Watches, Bags, Jewellery",Kids Bags,Kawaii Sanrio Plush Purse Cute Mymelody Kuromi Cartoon Mini Storage Wallet Headset Bag Girl Backpack Pendant,282,142,50,ILOVEDIY,7,87,100,99,Free Delivery,99.3,99,e7c0ba72-dc0c-4a9c-8950-896dd8d11202
"Watches, Bags, Jewellery",Kids Bags,CHINA SCHOOL BAG WATERPROOF WASHABLE,1450,1125,22,LUGGAGE POINT,4,90,0,92,Standard Delivery,64.44,29,6e8715fd-8519-41f8-8edf-97a8b2bd302a
"Watches, Bags, Jewellery",Kids Bags,Casual Nylon Backpack Travel Rucksack Solid Color Women Backpack Student School Bags Laptop Knapsack Teenager Girls Book Bags,1560,936,40,VooVoo Store,2,0,100,0,Standard Delivery,83.33,67,24c78240-c7fb-4da1-a820-101bde74e577
"Watches, Bags, Jewellery",Kids Bags,Kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,550,269,51,Aviva Deal International,3,80,0,96,Standard Delivery,102.23,105,53de66e7-fe28-490d-8723-6b33668b6181
"Watches, Bags, Jewellery",Kids Bags,"Elevate Your Travel with a Waterproof Embroidery Multifunctional Anti-Theft Backpack for Girls: Large Capacity, Trendy Comfort, and Simple Style",1290,542,58,Life Time Gadget,6,0,0,94,Standard Delivery,119,138,74301fe0-d98c-43f1-b5ff-cd6cb88d44d1
